igned long, char volatile *, unsigned long)" (done)           
==7069== Profiling application: ./cgout -b 2 -p 1 -l 0.1 -n 1000
==7069== Profiling result:
==7069== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                 tex0_cache_sector_queries           0           0           0           0
          1                 tex1_cache_sector_queries      211719      211719      211719      211719
          1                  tex0_cache_sector_misses      211719      211719      211719      211719
          1                  tex1_cache_sector_misses           0           0           0           0
          1                     fb_subp0_read_sectors          88          88          88          88
          1                     fb_subp1_read_sectors           0           0           0           0
          1                    fb_subp0_write_sectors          26          26          26          26
          1                    fb_subp1_write_sectors          32          32          32          32
          1              l2_subp0_write_sector_misses          34          34          34          34
          1              l2_subp1_write_sector_misses          24          24          24          24
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries      104960      104960      104960      104960
          1          l2_subp1_read_tex_sector_queries      106755      106755      106755      106755
          1         l2_subp0_write_tex_sector_queries           4           4           4           4
          1         l2_subp1_write_tex_sector_queries           0           0           0           0
          1             l2_subp0_read_tex_hit_sectors      104960      104960      104960      104960
          1             l2_subp1_read_tex_hit_sectors      104755      104755      104755      104755
          1            l2_subp0_write_tex_hit_sectors           4           4           4           4
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries      105320      105320      105320      105320
          1        l2_subp1_total_read_sector_queries      107090      107090      107090      107090
          1       l2_subp0_total_write_sector_queries           5           5           5           5
          1       l2_subp1_total_write_sector_queries           5           5           5           5
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries        2000        2000        2000        2000
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm   226404364   226404364   226404364   226404364
          1                             gld_inst_8bit      209715      209715      209715      209715
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit        2000        2000        2000        2000
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           4           4           4           4
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched           2           2           2           2
          1                              inst_issued0    14012983    14012983    14012983    14012983
          1                              inst_issued1      841456      841456      841456      841456
          1                              inst_issued2      106369      106369      106369      106369
          1                             inst_executed     1054167     1054167     1054167     1054167
          1                      thread_inst_executed     1054168     1054168     1054168     1054168
          1   not_predicated_off_thread_inst_executed     1054156     1054156     1054156     1054156
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load      211715      211715      211715      211715
          1                              global_store           4           4           4           4
          1                          divergent_branch           0           0           0           0
          1                                    branch       52692       52692       52692       52692
          1                             active_cycles    14623021    14623021    14623021    14623021
          1                              active_warps    14987558    14987558    14987558    14987558
          1                               active_ctas    14973102    14973102    14973102    14973102
          1                           sm_cta_launched           2           2           2           2
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0

==7069== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                             sm_efficiency                               Multiprocessor Activity       6.43%       6.43%       6.43%
          1                        achieved_occupancy                                    Achieved Occupancy    0.015625    0.015625    0.015625
          1                                       ipc                                          Executed IPC    0.072880    0.072880    0.072880
          1                                issued_ipc                                            Issued IPC    0.072532    0.072532    0.072532
          1                             inst_per_warp                                 Instructions per warp  5.2708e+05  5.2708e+05  5.2708e+05
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency       3.13%       3.13%       3.13%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency       3.12%       3.12%       3.12%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000025    0.000025    0.000025
          1                    issue_slot_utilization                                Issue Slot Utilization       1.63%       1.63%       1.63%
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request    1.000000    1.000000    1.000000
          1              gst_transactions_per_request                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions      211715      211715      211715
          1                          gst_transactions                             Global Store Transactions           4           4           4
          1                    dram_read_transactions                       Device Memory Read Transactions          88          88          88
          1                   dram_write_transactions                      Device Memory Write Transactions          58          58          58
          1                           global_hit_rate                                       Global Hit Rate       0.00%       0.00%       0.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  18.255MB/s  18.255MB/s  18.120MB/s
