==7093== Profiling application: ./cgout -b 2 -p 1 -l 0.2 -n 1000
==7093== Profiling result:
==7093== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                 tex0_cache_sector_queries        2002        2002        2002        2002
          1                 tex1_cache_sector_queries      419432      419432      419432      419432
          1                  tex0_cache_sector_misses      421434      421434      421434      421434
          1                  tex1_cache_sector_misses           0           0           0           0
          1                     fb_subp0_read_sectors           0           0           0           0
          1                     fb_subp1_read_sectors          88          88          88          88
          1                    fb_subp0_write_sectors          27          27          27          27
          1                    fb_subp1_write_sectors          44          44          44          44
          1              l2_subp0_write_sector_misses          34          34          34          34
          1              l2_subp1_write_sector_misses          24          24          24          24
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries      211766      211766      211766      211766
          1          l2_subp1_read_tex_sector_queries      209664      209664      209664      209664
          1         l2_subp0_write_tex_sector_queries           4           4           4           4
          1         l2_subp1_write_tex_sector_queries           0           0           0           0
          1             l2_subp0_read_tex_hit_sectors      209766      209766      209766      209766
          1             l2_subp1_read_tex_hit_sectors      209664      209664      209664      209664
          1            l2_subp0_write_tex_hit_sectors           4           4           4           4
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries      211782      211782      211782      211782
          1        l2_subp1_total_read_sector_queries      209687      209687      209687      209687
          1       l2_subp0_total_write_sector_queries           8           8           8           8
          1       l2_subp1_total_write_sector_queries           2           2           2           2
          1       l2_subp0_read_sysmem_sector_queries        2000        2000        2000        2000
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm   454841744   454841744   454841744   454841744
          1                             gld_inst_8bit      419430      419430      419430      419430
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit        2000        2000        2000        2000
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           4           4           4           4
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched           2           2           2           2
          1                              inst_issued0    27300175    27300175    27300175    27300175
          1                              inst_issued1     1680328     1680328     1680328     1680328
          1                              inst_issued2      211226      211226      211226      211226
          1                             inst_executed     2102737     2102737     2102737     2102737
          1                      thread_inst_executed     2102738     2102738     2102738     2102738
          1   not_predicated_off_thread_inst_executed     2102728     2102728     2102728     2102728
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load      421430      421430      421430      421430
          1                              global_store           4           4           4           4
          1                          divergent_branch           0           0           0           0
          1                                    branch      105120      105120      105120      105120
          1                             active_cycles    29156403    29156403    29156403    29156403
          1                              active_warps    28724850    28724850    28724850    28724850
          1                               active_ctas    28671188    28671188    28671188    28671188
          1                           sm_cta_launched           2           2           2           2
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0

==7093== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                             sm_efficiency                               Multiprocessor Activity       6.41%       6.41%       6.41%
          1                        achieved_occupancy                                    Achieved Occupancy    0.015625    0.015625    0.015625
          1                                       ipc                                          Executed IPC    0.072119    0.072119    0.072119
          1                                issued_ipc                                            Issued IPC    0.072109    0.072109    0.072109
          1                             inst_per_warp                                 Instructions per warp  1.0514e+06  1.0514e+06  1.0514e+06
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency       3.13%       3.13%       3.13%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency       3.12%       3.12%       3.12%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000019    0.000019    0.000019
          1                    issue_slot_utilization                                Issue Slot Utilization       1.62%       1.62%       1.62%
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request    1.000000    1.000000    1.000000
          1              gst_transactions_per_request                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions      421430      421430      421430
          1                          gst_transactions                             Global Store Transactions           4           4           4
          1                    dram_read_transactions                       Device Memory Read Transactions          88          88          88
          1                   dram_write_transactions                      Device Memory Write Transactions          71          71          71
          1                           global_hit_rate                                       Global Hit Rate       0.00%       0.00%       0.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  17.924MB/s  17.924MB/s  17.166MB/s
          1                  gst_requested_throughput                     Requested Global Store Throughput  1.3486KB/s  1.3486KB/s  0.00000B/s
