==26494== Profiling application: ./cgout -b 1024 -t 1024 -p 1 -l 500 -n 1000
==26494== Profiling result:
==26494== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                 tex0_cache_sector_queries   262278144   262278144   262278144   262278144
          1                 tex1_cache_sector_queries   262278144   262278144   262278144   262278144
          1                  tex0_cache_sector_misses   262182144   262182144   262182144   262182144
          1                  tex1_cache_sector_misses   262182144   262182144   262182144   262182144
          1                     fb_subp0_read_sectors   162713836   162713836   162713836   162713836
          1                     fb_subp1_read_sectors   140158846   140158846   140158846   140158846
          1                    fb_subp0_write_sectors       14173       14173       14173       14173
          1                    fb_subp1_write_sectors       14991       14991       14991       14991
          1              l2_subp0_write_sector_misses       13639       13639       13639       13639
          1              l2_subp1_write_sector_misses       13339       13339       13339       13339
          1               l2_subp0_read_sector_misses   141752871   141752871   141752871   141752871
          1               l2_subp1_read_sector_misses   141332105   141332105   141332105   141332105
          1          l2_subp0_read_tex_sector_queries   261888000   261888000   261888000   261888000
          1          l2_subp1_read_tex_sector_queries   261952000   261952000   261952000   261952000
          1         l2_subp0_write_tex_sector_queries       65536       65536       65536       65536
          1         l2_subp1_write_tex_sector_queries           0           0           0           0
          1             l2_subp0_read_tex_hit_sectors   118512480   118512480   118512480   118512480
          1             l2_subp1_read_tex_hit_sectors   119211989   119211989   119211989   119211989
          1            l2_subp0_write_tex_hit_sectors       65535       65535       65535       65535
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries   261888607   261888607   261888607   261888607
          1        l2_subp1_total_read_sector_queries   261952560   261952560   261952560   261952560
          1       l2_subp0_total_write_sector_queries       65537       65537       65537       65537
          1       l2_subp1_total_write_sector_queries           5           5           5           5
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries       64000       64000       64000       64000
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm  2003473332  2003473332  2003473332  2003473332
          1                             gld_inst_8bit   523776000   523776000   523776000   523776000
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit     2048000     2048000     2048000     2048000
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit     2097152     2097152     2097152     2097152
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       32768       32768       32768       32768
          1                              inst_issued0  7099259630  7099259630  7099259630  7099259630
          1                              inst_issued1   143951518   143951518   143951518   143951518
          1                              inst_issued2     8690625     8690625     8690625     8690625
          1                             inst_executed   161277887   161277887   161277887   161277887
          1                      thread_inst_executed  5160890078  5160890078  5160890078  5160890078
          1   not_predicated_off_thread_inst_executed  5153553108  5153553108  5153553108  5153553108
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load    16432000    16432000    16432000    16432000
          1                              global_store       65536       65536       65536       65536
          1                          divergent_branch           1           1           1           1
          1                                    branch     4525889     4525889     4525889     4525889
          1                             active_cycles  2000590045  2000590045  2000590045  2000590045
          1                              active_warps  1.1947e+11  1.1947e+11  1.1947e+11  1.1947e+11
          1                               active_ctas  4667691925  4667691925  4667691925  4667691925
          1                           sm_cta_launched        1024        1024        1024        1024
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0

==26494== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                             sm_efficiency                               Multiprocessor Activity      99.86%      99.86%      99.86%
          1                        achieved_occupancy                                    Achieved Occupancy    0.933094    0.933094    0.933094
          1                                       ipc                                          Executed IPC    0.082488    0.082488    0.082488
          1                                issued_ipc                                            Issued IPC    0.069065    0.069065    0.069065
          1                             inst_per_warp                                 Instructions per warp  4.9218e+03  4.9218e+03  4.9218e+03
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency      99.86%      99.86%      99.86%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000340    0.000340    0.000340
          1                    issue_slot_utilization                                Issue Slot Utilization       1.63%       1.63%       1.63%
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request   31.890944   31.890944   31.890944
          1              gst_transactions_per_request                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions   524032000   524032000   524032000
          1                          gst_transactions                             Global Store Transactions       65536       65536       65536
          1                    dram_read_transactions                       Device Memory Read Transactions   302872682   302872682   302872682
