==26516== Profiling application: ./cgout -b 1024 -t 1024 -p 1 -l 100 -n 1000
==26516== Profiling result:
==26516== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                 tex0_cache_sector_queries    52767744    52767744    52767744    52767744
          1                 tex1_cache_sector_queries    52767744    52767744    52767744    52767744
          1                  tex0_cache_sector_misses    52671744    52671744    52671744    52671744
          1                  tex1_cache_sector_misses    52671744    52671744    52671744    52671744
          1                     fb_subp0_read_sectors    21553828    21553828    21553828    21553828
          1                     fb_subp1_read_sectors    21654520    21654520    21654520    21654520
          1                    fb_subp0_write_sectors       13103       13103       13103       13103
          1                    fb_subp1_write_sectors       13130       13130       13130       13130
          1              l2_subp0_write_sector_misses       12987       12987       12987       12987
          1              l2_subp1_write_sector_misses       12947       12947       12947       12947
          1               l2_subp0_read_sector_misses    22606905    22606905    22606905    22606905
          1               l2_subp1_read_sector_misses    22871993    22871993    22871993    22871993
          1          l2_subp0_read_tex_sector_queries    52441600    52441600    52441600    52441600
          1          l2_subp1_read_tex_sector_queries    52377600    52377600    52377600    52377600
          1         l2_subp0_write_tex_sector_queries       65536       65536       65536       65536
          1         l2_subp1_write_tex_sector_queries           0           0           0           0
          1             l2_subp0_read_tex_hit_sectors    30295331    30295331    30295331    30295331
          1             l2_subp1_read_tex_hit_sectors    30211470    30211470    30211470    30211470
          1            l2_subp0_write_tex_hit_sectors       65535       65535       65535       65535
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries    52441920    52441920    52441920    52441920
          1        l2_subp1_total_read_sector_queries    52377919    52377919    52377919    52377919
          1       l2_subp0_total_write_sector_queries       65537       65537       65537       65537
          1       l2_subp1_total_write_sector_queries           5           5           5           5
          1       l2_subp0_read_sysmem_sector_queries       64000       64000       64000       64000
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm   416767328   416767328   416767328   416767328
          1                             gld_inst_8bit   104755200   104755200   104755200   104755200
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit     2048000     2048000     2048000     2048000
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit     2097152     2097152     2097152     2097152
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       32768       32768       32768       32768
          1                              inst_issued0  1648302402  1648302402  1648302402  1648302402
          1                              inst_issued1    35887730    35887730    35887730    35887730
          1                              inst_issued2     2143424     2143424     2143424     2143424
          1                             inst_executed    40154541    40154541    40154541    40154541
          1                      thread_inst_executed  1284943006  1284943006  1284943006  1284943006
          1   not_predicated_off_thread_inst_executed  1277606004  1277606004  1277606004  1277606004
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load     3337600     3337600     3337600     3337600
          1                              global_store       65536       65536       65536       65536
          1                          divergent_branch           1           1           1           1
          1                                    branch     1252287     1252287     1252287     1252287
          1                             active_cycles   415875707   415875707   415875707   415875707
          1                              active_warps  2.4734e+10  2.4734e+10  2.4734e+10  2.4734e+10
          1                               active_ctas   894112481   894112481   894112481   894112481
          1                           sm_cta_launched        1024        1024        1024        1024
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0

==26516== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                             sm_efficiency                               Multiprocessor Activity      99.82%      99.82%      99.82%
          1                        achieved_occupancy                                    Achieved Occupancy    0.929299    0.929299    0.929299
          1                                       ipc                                          Executed IPC    0.089063    0.089063    0.089063
          1                                issued_ipc                                            Issued IPC    0.096523    0.096523    0.096523
          1                             inst_per_warp                                 Instructions per warp  1.2254e+03  1.2254e+03  1.2254e+03
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency      99.43%      99.43%      99.43%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000499    0.000499    0.000499
          1                    issue_slot_utilization                                Issue Slot Utilization       2.28%       2.28%       2.28%
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request   31.463087   31.463087   31.463087
          1              gst_transactions_per_request                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions   105011200   105011200   105011200
          1                          gst_transactions                             Global Store Transactions       65536       65536       65536
          1                    dram_read_transactions                       Device Memory Read Transactions    43208348    43208348    43208348
