==22912== NVPROF is profiling process 22912, command: ./cgout -b 1024 -p 1 -l 1 -n 1000
==22912== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22912== Profiling application: ./cgout -b 1024 -p 1 -l 1 -n 1000
==22912== Profiling result:
==22912== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                 tex0_cache_sector_queries     1045500     1045500     1045500     1045500
          1                 tex1_cache_sector_queries     1053652     1053652     1053652     1053652
          1                  tex0_cache_sector_misses     1051602     1051602     1051602     1051602
          1                  tex1_cache_sector_misses     1047550     1047550     1047550     1047550
          1                     fb_subp0_read_sectors       14266       14266       14266       14266
          1                     fb_subp1_read_sectors       14474       14474       14474       14474
          1                    fb_subp0_write_sectors        2810        2810        2810        2810
          1                    fb_subp1_write_sectors        2728        2728        2728        2728
          1              l2_subp0_write_sector_misses        2330        2330        2330        2330
          1              l2_subp1_write_sector_misses        2432        2432        2432        2432
          1               l2_subp0_read_sector_misses       15775       15775       15775       15775
          1               l2_subp1_read_sector_misses       15345       15345       15345       15345
          1          l2_subp0_read_tex_sector_queries     1047552     1047552     1047552     1047552
          1          l2_subp1_read_tex_sector_queries     1049552     1049552     1049552     1049552
          1         l2_subp0_write_tex_sector_queries        2048        2048        2048        2048
          1         l2_subp1_write_tex_sector_queries           0           0           0           0
          1             l2_subp0_read_tex_hit_sectors     1031830     1031830     1031830     1031830
          1             l2_subp1_read_tex_hit_sectors     1031842     1031842     1031842     1031842
          1            l2_subp0_write_tex_hit_sectors        2048        2048        2048        2048
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries     1047584     1047584     1047584     1047584
          1        l2_subp1_total_read_sector_queries     1049591     1049591     1049591     1049591
          1       l2_subp0_total_write_sector_queries        2048        2048        2048        2048
          1       l2_subp1_total_write_sector_queries           6           6           6           6
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries        2000        2000        2000        2000
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm    15208156    15208156    15208156    15208156
          1                             gld_inst_8bit     2095104     2095104     2095104     2095104
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit        2000        2000        2000        2000
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit        2048        2048        2048        2048
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched        1024        1024        1024        1024
          1                              inst_issued0    26091022    26091022    26091022    26091022
          1                              inst_issued1    17415895    17415895    17415895    17415895
          1                              inst_issued2     1062360     1062360     1062360     1062360
          1                             inst_executed    19538766    19538766    19538766    19538766
          1                      thread_inst_executed    19538766    19538766    19538766    19538766
          1   not_predicated_off_thread_inst_executed    19530576    19530576    19530576    19530576
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load     2097104     2097104     2097104     2097104
          1                              global_store        2048        2048        2048        2048
          1                          divergent_branch           0           0           0           0
          1                                    branch      535287      535287      535287      535287
          1                             active_cycles    13431927    13431927    13431927    13431927
          1                              active_warps   407769946   407769946   407769946   407769946
          1                               active_ctas   284586150   284586150   284586150   284586150
          1                           sm_cta_launched        1024        1024        1024        1024
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0

==22912== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                             sm_efficiency                               Multiprocessor Activity      87.81%      87.81%      87.81%
          1                        achieved_occupancy                                    Achieved Occupancy    0.478159    0.478159    0.478159
          1                                       ipc                                          Executed IPC    1.454651    1.454651    1.454651
          1                                issued_ipc                                            Issued IPC    1.491573    1.491573    1.491573
          1                             inst_per_warp                                 Instructions per warp  1.9081e+04  1.9081e+04  1.9081e+04
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency       3.12%       3.12%       3.12%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency       3.12%       3.12%       3.12%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000075    0.000075    0.000075
          1                    issue_slot_utilization                                Issue Slot Utilization      35.26%      35.26%      35.26%
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request    1.000000    1.000000    1.000000
          1              gst_transactions_per_request                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions     2097104     2097104     2097104
          1                          gst_transactions                             Global Store Transactions        2048        2048        2048
          1                    dram_read_transactions                       Device Memory Read Transactions       28740       28740       28740
