==25617== NVPROF is profiling process 25617, command: ./cgout -b 1 -t 1024 -p 1 -l 0.1 -n 1000
==25617== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25617== Profiling application: ./cgout -b 1 -t 1024 -p 1 -l 0.1 -n 1000
==25617== Profiling result:
==25617== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                 tex0_cache_sector_queries      128256      128256      128256      128256
          1                 tex1_cache_sector_queries      128256      128256      128256      128256
          1                  tex0_cache_sector_misses       32256       32256       32256       32256
          1                  tex1_cache_sector_misses       32256       32256       32256       32256
          1                     fb_subp0_read_sectors         100         100         100         100
          1                     fb_subp1_read_sectors          16          16          16          16
          1                    fb_subp0_write_sectors           0           0           0           0
          1                    fb_subp1_write_sectors           0           0           0           0
          1              l2_subp0_write_sector_misses           0           0           0           0
          1              l2_subp1_write_sector_misses           4           4           4           4
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries           0           0           0           0
          1          l2_subp1_read_tex_sector_queries       64000       64000       64000       64000
          1         l2_subp0_write_tex_sector_queries          64          64          64          64
          1         l2_subp1_write_tex_sector_queries           0           0           0           0
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1            l2_subp0_write_tex_hit_sectors          64          64          64          64
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries          24          24          24          24
          1        l2_subp1_total_read_sector_queries       64015       64015       64015       64015
          1       l2_subp0_total_write_sector_queries          69          69          69          69
          1       l2_subp1_total_write_sector_queries           1           1           1           1
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries       64000       64000       64000       64000
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm   322990408   322990408   322990408   322990408
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit     2048000     2048000     2048000     2048000
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit        2048        2048        2048        2048
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched          32          32          32          32
          1                              inst_issued0    75814330    75814330    75814330    75814330
          1                              inst_issued1       82901       82901       82901       82901
          1                              inst_issued2       48288       48288       48288       48288
          1                             inst_executed      179328      179328      179328      179328
          1                      thread_inst_executed     5738496     5738496     5738496     5738496
          1   not_predicated_off_thread_inst_executed     5731408     5731408     5731408     5731408
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load       64000       64000       64000       64000
          1                              global_store          64          64          64          64
          1                          divergent_branch           0           0           0           0
          1                                    branch        8256        8256        8256        8256
          1                             active_cycles    20222137    20222137    20222137    20222137
          1                              active_warps   644578740   644578740   644578740   644578740
          1                               active_ctas    20178685    20178685    20178685    20178685
          1                           sm_cta_launched           1           1           1           1
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0

==25617== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                             sm_efficiency                               Multiprocessor Activity       6.28%       6.28%       6.28%
          1                        achieved_occupancy                                    Achieved Occupancy    0.499226    0.499226    0.499226
          1                                       ipc                                          Executed IPC    0.010432    0.010432    0.010432
          1                                issued_ipc                                            Issued IPC    0.010495    0.010495    0.010495
          1                             inst_per_warp                                 Instructions per warp  5.6040e+03  5.6040e+03  5.6040e+03
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency      99.88%      99.88%      99.88%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000792    0.000792    0.000792
          1                    issue_slot_utilization                                Issue Slot Utilization       0.19%       0.19%       0.19%
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request    4.000000    4.000000    4.000000
          1              gst_transactions_per_request                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions      256000      256000      256000
          1                          gst_transactions                             Global Store Transactions          64          64          64
          1                    dram_read_transactions                       Device Memory Read Transactions         116         116         116
          1                   dram_write_transactions                      Device Memory Write Transactions           0           0           0
          1                           global_hit_rate                                       Global Hit Rate      75.00%      75.00%      75.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
