==26219== Profiling application: ./cgout -b 2 -t 1024 -p 1 -l 500 -n 1000
==26219== Profiling result:
==26219== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                 tex0_cache_sector_queries   131200512   131200512   131200512   131200512
          1                 tex1_cache_sector_queries   131200512   131200512   131200512   131200512
          1                  tex0_cache_sector_misses   131104512   131104512   131104512   131104512
          1                  tex1_cache_sector_misses   131104512   131104512   131104512   131104512
          1                     fb_subp0_read_sectors     5084467     5084467     5084467     5084467
          1                     fb_subp1_read_sectors     4988193     4988193     4988193     4988193
          1                    fb_subp0_write_sectors        3195        3195        3195        3195
          1                    fb_subp1_write_sectors        2900        2900        2900        2900
          1              l2_subp0_write_sector_misses        2943        2943        2943        2943
          1              l2_subp1_write_sector_misses        3072        3072        3072        3072
          1               l2_subp0_read_sector_misses     5054840     5054840     5054840     5054840
          1               l2_subp1_read_sector_misses     5042066     5042066     5042066     5042066
          1          l2_subp0_read_tex_sector_queries   131072000   131072000   131072000   131072000
          1          l2_subp1_read_tex_sector_queries   131136000   131136000   131136000   131136000
          1         l2_subp0_write_tex_sector_queries         128         128         128         128
          1         l2_subp1_write_tex_sector_queries           0           0           0           0
          1             l2_subp0_read_tex_hit_sectors   125991972   125991972   125991972   125991972
          1             l2_subp1_read_tex_hit_sectors   126004149   126004149   126004149   126004149
          1            l2_subp0_write_tex_hit_sectors         128         128         128         128
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries   131072855   131072855   131072855   131072855
          1        l2_subp1_total_read_sector_queries   131136832   131136832   131136832   131136832
          1       l2_subp0_total_write_sector_queries         129         129         129         129
          1       l2_subp1_total_write_sector_queries           5           5           5           5
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries       64000       64000       64000       64000
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           5           5           5           5
          1                         elapsed_cycles_sm  1.0211e+10  1.0211e+10  1.0211e+10  1.0211e+10
          1                             gld_inst_8bit   262144000   262144000   262144000   262144000
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit     2048000     2048000     2048000     2048000
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit        4096        4096        4096        4096
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched          64          64          64          64
          1                              inst_issued0  2538793818  2538793818  2538793818  2538793818
          1                              inst_issued1    67685610    67685610    67685610    67685610
          1                              inst_issued2     4144769     4144769     4144769     4144769
          1                             inst_executed    75969503    75969503    75969503    75969503
          1                      thread_inst_executed  2431021790  2431021790  2431021790  2431021790
          1   not_predicated_off_thread_inst_executed  2431010516  2431010516  2431010516  2431010516
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load     8256000     8256000     8256000     8256000
          1                              global_store         128         128         128         128
          1                          divergent_branch           1           1           1           1
          1                                    branch     2056737     2056737     2056737     2056737
          1                             active_cycles   659586959   659586959   659586959   659586959
          1                              active_warps  2.0902e+10  2.0902e+10  2.0902e+10  2.0902e+10
          1                               active_ctas   653136071   653136071   653136071   653136071
          1                           sm_cta_launched           2           2           2           2
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0

==26219== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                             sm_efficiency                               Multiprocessor Activity       6.46%       6.46%       6.46%
          1                        achieved_occupancy                                    Achieved Occupancy    0.499863    0.499863    0.499863
          1                                       ipc                                          Executed IPC    0.115241    0.115241    0.115241
          1                                issued_ipc                                            Issued IPC    0.115186    0.115186    0.115186
          1                             inst_per_warp                                 Instructions per warp  1.1870e+06  1.1870e+06  1.1870e+06
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency     100.00%     100.00%     100.00%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000074    0.000074    0.000074
          1                    issue_slot_utilization                                Issue Slot Utilization       2.72%       2.72%       2.72%
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request   31.782946   31.782946   31.782946
          1              gst_transactions_per_request                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions   262400000   262400000   262400000
          1                          gst_transactions                             Global Store Transactions         128         128         128
          1                    dram_read_transactions                       Device Memory Read Transactions    10072660    10072660    10072660
          1                   dram_write_transactions                      Device Memory Write Transactions        6095        6095        6095
