==22870== Profiling application: ./cgout -b 512 -p 1 -l 1 -n 1000
==22870== Profiling result:
==22870== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                 tex0_cache_sector_queries     1049088     1049088     1049088     1049088
          1                 tex1_cache_sector_queries     1046992     1046992     1046992     1046992
          1                  tex0_cache_sector_misses     1046992     1046992     1046992     1046992
          1                  tex1_cache_sector_misses     1049088     1049088     1049088     1049088
          1                     fb_subp0_read_sectors       12616       12616       12616       12616
          1                     fb_subp1_read_sectors       12069       12069       12069       12069
          1                    fb_subp0_write_sectors        1982        1982        1982        1982
          1                    fb_subp1_write_sectors        1932        1932        1932        1932
          1              l2_subp0_write_sector_misses        1922        1922        1922        1922
          1              l2_subp1_write_sector_misses        1904        1904        1904        1904
          1               l2_subp0_read_sector_misses       11994       11994       11994       11994
          1               l2_subp1_read_sector_misses       12396       12396       12396       12396
          1          l2_subp0_read_tex_sector_queries     1048528     1048528     1048528     1048528
          1          l2_subp1_read_tex_sector_queries     1046528     1046528     1046528     1046528
          1         l2_subp0_write_tex_sector_queries        1024        1024        1024        1024
          1         l2_subp1_write_tex_sector_queries           0           0           0           0
          1             l2_subp0_read_tex_hit_sectors     1034038     1034038     1034038     1034038
          1             l2_subp1_read_tex_hit_sectors     1034039     1034039     1034039     1034039
          1            l2_subp0_write_tex_hit_sectors        1024        1024        1024        1024
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries     1048792     1048792     1048792     1048792
          1        l2_subp1_total_read_sector_queries     1046791     1046791     1046791     1046791
          1       l2_subp0_total_write_sector_queries        1029        1029        1029        1029
          1       l2_subp1_total_write_sector_queries           1           1           1           1
          1       l2_subp0_read_sysmem_sector_queries        2000        2000        2000        2000
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm    16243556    16243556    16243556    16243556
          1                             gld_inst_8bit     2093056     2093056     2093056     2093056
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit        2000        2000        2000        2000
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit        1024        1024        1024        1024
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched         512         512         512         512
          1                              inst_issued0    31175246    31175246    31175246    31175246
          1                              inst_issued1    17335343    17335343    17335343    17335343
          1                              inst_issued2     1054680     1054680     1054680     1054680
          1                             inst_executed    19443022    19443022    19443022    19443022
          1                      thread_inst_executed    19443022    19443022    19443022    19443022
          1   not_predicated_off_thread_inst_executed    19438928    19438928    19438928    19438928
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load     2095056     2095056     2095056     2095056
          1                              global_store        1024        1024        1024        1024
          1                          divergent_branch           0           0           0           0
          1                                    branch      529143      529143      529143      529143
          1                             active_cycles    11937504    11937504    11937504    11937504
          1                              active_warps   402464840   402464840   402464840   402464840
          1                               active_ctas   412445220   412445220   412445220   412445220
          1                           sm_cta_launched         512         512         512         512
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0

==22870== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                             sm_efficiency                               Multiprocessor Activity      88.92%      88.92%      88.92%
          1                        achieved_occupancy                                    Achieved Occupancy    0.482041    0.482041    0.482041
          1                                       ipc                                          Executed IPC    1.628734    1.628734    1.628734
          1                                issued_ipc                                            Issued IPC    1.694913    1.694913    1.694913
          1                             inst_per_warp                                 Instructions per warp  3.7975e+04  3.7975e+04  3.7975e+04
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency       3.12%       3.12%       3.12%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency       3.12%       3.12%       3.12%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000089    0.000089    0.000089
          1                    issue_slot_utilization                                Issue Slot Utilization      40.07%      40.07%      40.07%
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request    1.000000    1.000000    1.000000
          1              gst_transactions_per_request                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions     2095056     2095056     2095056
          1                          gst_transactions                             Global Store Transactions        1024        1024        1024
          1                    dram_read_transactions                       Device Memory Read Transactions       24685       24685       24685
          1                   dram_write_transactions                      Device Memory Write Transactions        3914        3914        3914
          1                           global_hit_rate                                       Global Hit Rate       0.00%       0.00%       0.00%
