==22676== Profiling application: ./cgout -b 8 -p 1 -l 1 -n 1000
==22676== Profiling result:
==22676== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                 tex0_cache_sector_queries      786438      786438      786438      786438
          1                 tex1_cache_sector_queries     1050586     1050586     1050586     1050586
          1                  tex0_cache_sector_misses      788440      788440      788440      788440
          1                  tex1_cache_sector_misses     1048584     1048584     1048584     1048584
          1                     fb_subp0_read_sectors        7296        7296        7296        7296
          1                     fb_subp1_read_sectors        9598        9598        9598        9598
          1                    fb_subp0_write_sectors        1846        1846        1846        1846
          1                    fb_subp1_write_sectors        1100        1100        1100        1100
          1              l2_subp0_write_sector_misses        1434        1434        1434        1434
          1              l2_subp1_write_sector_misses        1556        1556        1556        1556
          1               l2_subp0_read_sector_misses        8646        8646        8646        8646
          1               l2_subp1_read_sector_misses        8528        8528        8528        8528
          1          l2_subp0_read_tex_sector_queries      918504      918504      918504      918504
          1          l2_subp1_read_tex_sector_queries      918504      918504      918504      918504
          1         l2_subp0_write_tex_sector_queries          16          16          16          16
          1         l2_subp1_write_tex_sector_queries           0           0           0           0
          1             l2_subp0_read_tex_hit_sectors      909892      909892      909892      909892
          1             l2_subp1_read_tex_hit_sectors      909972      909972      909972      909972
          1            l2_subp0_write_tex_hit_sectors          16          16          16          16
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries      918568      918568      918568      918568
          1        l2_subp1_total_read_sector_queries      918567      918567      918567      918567
          1       l2_subp0_total_write_sector_queries          17          17          17          17
          1       l2_subp1_total_write_sector_queries           5           5           5           5
          1       l2_subp0_read_sysmem_sector_queries        1000        1000        1000        1000
          1       l2_subp1_read_sysmem_sector_queries        1000        1000        1000        1000
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm   325779156   325779156   325779156   325779156
          1                             gld_inst_8bit     1835008     1835008     1835008     1835008
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit        2000        2000        2000        2000
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit          16          16          16          16
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched           8           8           8           8
          1                              inst_issued0   122186187   122186187   122186187   122186187
          1                              inst_issued1    15142626    15142626    15142626    15142626
          1                              inst_issued2      919104      919104      919104      919104
          1                             inst_executed    16980478    16980478    16980478    16980478
          1                      thread_inst_executed    16980478    16980478    16980478    16980478
          1   not_predicated_off_thread_inst_executed    16980416    16980416    16980416    16980416
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load     1837008     1837008     1837008     1837008
          1                              global_store          16          16          16          16
          1                          divergent_branch           0           0           0           0
          1                                    branch      459087      459087      459087      459087
          1                             active_cycles   135165299   135165299   135165299   135165299
          1                              active_warps   135742654   135742654   135742654   135742654
          1                               active_ctas   135073018   135073018   135073018   135073018
          1                           sm_cta_launched           8           8           8           8
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0

==22676== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                             sm_efficiency                               Multiprocessor Activity      41.40%      41.40%      41.40%
          1                        achieved_occupancy                                    Achieved Occupancy    0.015625    0.015625    0.015625
          1                                       ipc                                          Executed IPC    0.126535    0.126535    0.126535
          1                                issued_ipc                                            Issued IPC    0.125803    0.125803    0.125803
          1                             inst_per_warp                                 Instructions per warp  2.1226e+06  2.1226e+06  2.1226e+06
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency       3.12%       3.12%       3.12%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency       3.12%       3.12%       3.12%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000021    0.000021    0.000021
          1                    issue_slot_utilization                                Issue Slot Utilization       2.97%       2.97%       2.97%
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request    1.000000    1.000000    1.000000
          1              gst_transactions_per_request                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions     1837008     1837008     1837008
          1                          gst_transactions                             Global Store Transactions          16          16          16
          1                    dram_read_transactions                       Device Memory Read Transactions       16894       16894       16894
          1                   dram_write_transactions                      Device Memory Write Transactions        2946        2946        2946
          1                           global_hit_rate                                       Global Hit Rate       0.00%       0.00%       0.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
