==22783== Profiling application: ./cgout -b 32 -p 1 -l 1 -n 1000
==22783== Profiling result:
==22783== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                 tex0_cache_sector_queries      917532      917532      917532      917532
          1                 tex1_cache_sector_queries     1116148     1116148     1116148     1116148
          1                  tex0_cache_sector_misses     1116148     1116148     1116148     1116148
          1                  tex1_cache_sector_misses      917532      917532      917532      917532
          1                     fb_subp0_read_sectors       10674       10674       10674       10674
          1                     fb_subp1_read_sectors       10944       10944       10944       10944
          1                    fb_subp0_write_sectors        1766        1766        1766        1766
          1                    fb_subp1_write_sectors        1836        1836        1836        1836
          1              l2_subp0_write_sector_misses        1662        1662        1662        1662
          1              l2_subp1_write_sector_misses        1592        1592        1592        1592
          1               l2_subp0_read_sector_misses       10582       10582       10582       10582
          1               l2_subp1_read_sector_misses       10866       10866       10866       10866
          1          l2_subp0_read_tex_sector_queries     1017808     1017808     1017808     1017808
          1          l2_subp1_read_tex_sector_queries     1015808     1015808     1015808     1015808
          1         l2_subp0_write_tex_sector_queries          64          64          64          64
          1         l2_subp1_write_tex_sector_queries           0           0           0           0
          1             l2_subp0_read_tex_hit_sectors     1004203     1004203     1004203     1004203
          1             l2_subp1_read_tex_hit_sectors     1004234     1004234     1004234     1004234
          1            l2_subp0_write_tex_hit_sectors          64          64          64          64
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries     1018078     1018078     1018078     1018078
          1        l2_subp1_total_read_sector_queries     1016079     1016079     1016079     1016079
          1       l2_subp0_total_write_sector_queries          65          65          65          65
          1       l2_subp1_total_write_sector_queries           5           5           5           5
          1       l2_subp0_read_sysmem_sector_queries        2000        2000        2000        2000
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm    85537192    85537192    85537192    85537192
          1                             gld_inst_8bit     2031616     2031616     2031616     2031616
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit        2000        2000        2000        2000
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit          64          64          64          64
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched          32          32          32          32
          1                              inst_issued0   133339506   133339506   133339506   133339506
          1                              inst_issued1    16767874    16767874    16767874    16767874
          1                              inst_issued2     1017720     1017720     1017720     1017720
          1                             inst_executed    18802702    18802702    18802702    18802702
          1                      thread_inst_executed    18802702    18802702    18802702    18802702
          1   not_predicated_off_thread_inst_executed    18802446    18802446    18802446    18802446
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load     2033616     2033616     2033616     2033616
          1                              global_store          64          64          64          64
          1                          divergent_branch           0           0           0           0
          1                                    branch      508503      508503      508503      508503
          1                             active_cycles    80863714    80863714    80863714    80863714
          1                              active_warps   155575206   155575206   155575206   155575206
          1                               active_ctas   153069878   153069878   153069878   153069878
          1                           sm_cta_launched          32          32          32          32
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0

==22783== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX 980 (0)"
    Kernel: gpu_hammer(unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long volatile *, unsigned long, unsigned long*, unsigned long, char volatile *, unsigned long)
          1                             sm_efficiency                               Multiprocessor Activity      95.90%      95.90%      95.90%
          1                        achieved_occupancy                                    Achieved Occupancy    0.030061    0.030061    0.030061
          1                                       ipc                                          Executed IPC    0.232983    0.232983    0.232983
          1                                issued_ipc                                            Issued IPC    0.231802    0.231802    0.231802
          1                             inst_per_warp                                 Instructions per warp  5.8758e+05  5.8758e+05  5.8758e+05
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency       3.12%       3.12%       3.12%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency       3.12%       3.12%       3.12%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000032    0.000032    0.000032
          1                    issue_slot_utilization                                Issue Slot Utilization       5.48%       5.48%       5.48%
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request    1.000000    1.000000    1.000000
          1              gst_transactions_per_request                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions     2033616     2033616     2033616
          1                          gst_transactions                             Global Store Transactions          64          64          64
          1                    dram_read_transactions                       Device Memory Read Transactions       21618       21618       21618
          1                   dram_write_transactions                      Device Memory Write Transactions        3602        3602        3602
          1                           global_hit_rate                                       Global Hit Rate       0.00%       0.00%       0.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
